dateTime,volume
2021-10-06 00:00:00,79877.54518100
2021-10-07 00:00:00,54917.37766000
2021-10-08 00:00:00,46160.25785000
2021-10-09 00:00:00,55177.08013000
2021-10-10 00:00:00,89237.83612800
2021-10-11 00:00:00,52933.16575100
2021-10-12 00:00:00,53471.28550000
2021-10-13 00:00:00,55808.44492000
2021-10-14 00:00:00,43053.33678100
2021-10-15 00:00:00,82512.90802200
2021-10-16 00:00:00,35467.88096000
2021-10-17 00:00:00,39099.24124000
2021-10-18 00:00:00,51798.44844000
2021-10-19 00:00:00,53628.10774400
2021-10-20 00:00:00,51428.93485600
2021-10-21 00:00:00,68538.64537000
2021-10-22 00:00:00,52119.35886000
2021-10-23 00:00:00,27626.93678000
2021-10-24 00:00:00,31226.57676000
2021-10-25 00:00:00,36853.83806000
2021-10-26 00:00:00,40217.50083000
2021-10-27 00:00:00,62124.49016000
2021-10-28 00:00:00,61056.35301000
2021-10-29 00:00:00,43973.90414000
2021-10-30 00:00:00,31478.12566000
2021-10-31 00:00:00,39267.63794000
2021-11-01 00:00:00,44687.66672000
2021-11-02 00:00:00,46368.28410000
2021-11-03 00:00:00,43336.09049000
2021-11-04 00:00:00,35930.93314000
2021-11-05 00:00:00,31604.48749000
2021-11-06 00:00:00,25590.57408000
2021-11-07 00:00:00,25515.68830000
2021-11-08 00:00:00,54442.09455400
2021-11-09 00:00:00,44661.37806800
2021-11-10 00:00:00,65171.50404600
2021-11-11 00:00:00,37237.98058000
2021-11-12 00:00:00,44490.10816000
2021-11-13 00:00:00,22504.97383000
2021-11-14 00:00:00,25705.07347000
2021-11-15 00:00:00,37829.37124000
2021-11-16 00:00:00,77455.15609000
2021-11-17 00:00:00,46289.38491000
2021-11-18 00:00:00,62146.99931000
2021-11-19 00:00:00,50715.88726000
2021-11-20 00:00:00,33811.59010000
2021-11-21 00:00:00,31902.22785000
2021-11-22 00:00:00,51724.32047000
2021-11-23 00:00:00,49917.85017000
2021-11-24 00:00:00,39612.04964000
2021-11-25 00:00:00,42153.51522000
2021-11-26 00:00:00,65927.87066000
2021-11-27 00:00:00,29716.99957000
2021-11-28 00:00:00,36163.71370000
2021-11-29 00:00:00,40125.28009000
2021-11-30 00:00:00,49161.05194000
2021-12-01 00:00:00,44956.63656000
2021-12-02 00:00:00,37574.05976000
2021-12-03 00:00:00,58927.69027000
2021-12-04 00:00:00,114203.37374800
2021-12-05 00:00:00,45580.82012000
2021-12-06 00:00:00,58571.21575000
2021-12-07 00:00:00,38253.46877000
2021-12-08 00:00:00,38425.92466000
2021-12-09 00:00:00,37692.68665000
2021-12-10 00:00:00,44233.57391000
2021-12-11 00:00:00,28889.19358000
2021-12-12 00:00:00,26017.93421000
2021-12-13 00:00:00,50869.52093000
2021-12-14 00:00:00,39955.98445000
2021-12-15 00:00:00,18201.73993000
